Project Name,Assignee,Deliverable Checklist,Developer/Sales,KYC,Notes,Onboarding Status,Project Status,Release Date,Services,Units
National Homes | Northshore Phase 1,Roell Pereira,,,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: Avesdo TMS Platform
Deal Value: $37,469.25
Province: Ontario
# of Homes: 189
Deal Owner: Sandor Segal
Initial Launch Date: 2023-02-11
Development Proposal Stage: 
Sales/Marketing Company: In-House

Contact Details
Onboarding Contact: Viman
First time using Avesdo? No
Customer Type: Developer
Is onboarding contact new to Avesdo? Brand new to Avesdo

Set-Up Details
Trust Account Required: Yes
Selling in phases? Yes, this whole project is phase 1
Unit Breakout: 153 condos and 56 towns
Project Set-Up: Full Architectural Controls with Site Plan (ac rules apply, not pre-sited)
Setting up Leads? No
Setting up Worksheets? Yes
If using Worksheets, when does the client want to start using this feature? Per workback schedule
Setting up Sales Grid? Yes
Setting up Contracts? Yes
Setting up Closings? Yes
CRM/Lead Ingestion: Spark
API/Reporting Requirements: None at this time
Related Projects/Relevant Info: Part of Master Agreement

Client Goals/Other Information
Competitors, CRMs, other software being used? Spark
Why Buy/Challenges we are solving: n/a
What is client's goal from Avesdo? n/a
Why Avesdo? n/a
Red Flags/Risks/Potential Roadblocks: 

Test Site set up during Pre-Sales?:

**CS** - REFER TO HUBSPOT DEAL NOTES FOR SET UP SPECIFICS.

Notes
Other Special Customer-Related Notes: ",,Released,Released,18-Apr-23,,189
The Dylan 2,Rashi Gupta,,BM Group/Breakside,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: Avesdo TMS Platform
Deal Value: $23,400.00
Province: British Columbia
# of Homes: 60
Deal Owner: Steve Curtis
Account Manager: Sales Advisor (Sammy, Steve, Sandor, Patrick)
Initial Launch Date: 2025-06-13
Sales/Marketing Company: Breakside

Contact Details
Onboarding Contact: Amy Rebedos
Onboarding Contact Email: 

Set-Up Details
Credit Cards? No
Avesdo Deposits? Yes
Project Set-Up: 
Setting up Leads? No
Setting up Worksheets? No
If using Worksheets, when does the client want to start using this feature? 
Setting up Sales Grid? Yes
CRM/Lead Ingestion: Not sure
API/Reporting Requirements: Not that I am aware of

Notes
Other Special Customer-Related Notes: ",,Not started,Not started,,,60
Streetside (BC) - Bailey,Jason Hudym,,,"Product Type: Avesdo TMS Platform
Trust Account Required: No
Deal Value: $29,100.05
Initial Launch Date: 2022-09-02
Province: British Columbia


KYC Survey:
Deal Owner: Steve Curtis
# of Homes: 61
Initial Launch Date: 2022-09-02
Onboarding Contact: Jennifer Wilson
First time using Avesdo? No
Competitors, CRMs, other software being used? None
Current process outside Avesdo? Avesdo
Major problems we're solving? None
What does success mean for the client? Strong sales
Additional comments: ",,Released,Released,03-May-23,,61
The Corners Project (towns) | Fifth Avenue ,,,,,,Released,Released,15-Apr-20,,
Paradigm | Wesgroup,,,,,,Released,Released,05-Dec-19,,
Rennie - Soto on W 28th,Roell Pereira,,,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: Avesdo TMS Platform
Deal Value: 
Province: British Columbia
# of Homes: 
Deal Owner: Sandor Segal
Account Manager: Malinka
Initial Launch Date: 2023-07-31
Development Proposal Stage: 
Sales/Marketing Company: Rennie Marketing

Contact Details
Onboarding Contact: katerina wong
First time using Avesdo? No
Customer Type: Sales/Marketing Company
Is onboarding contact new to Avesdo? No - Existing customer (familiar with full platform)

Set-Up Details
Trust Account Required: No
Selling in phases? no
Unit Breakout: townhomes
Project Set-Up: Grid view (Condo Tower)
Setting up Leads? No
Setting up Worksheets? No
If using Worksheets, when does the client want to start using this feature? n/a
Setting up Sales Grid? No
Setting up Contracts? Yes
Setting up Closings? Yes
CRM/Lead Ingestion: salesforce integration
API/Reporting Requirements: salesforce integration
Related Projects/Relevant Info: 

Client Goals/Other Information
Competitors, CRMs, other software being used? salesforce integration
Why Buy/Challenges we are solving: salesforce integration
What is client's goal from Avesdo? salesforce integration
Why Avesdo? salesforce integration
Red Flags/Risks/Potential Roadblocks: 

Test Site set up during Pre-Sales?:

**CS** - REFER TO HUBSPOT DEAL NOTES FOR SET UP SPECIFICS.

Notes
Other Special Customer-Related Notes: ",,Released,Released,13-Sep-23,,20
Elston | Breakside,,,,,,Released,Released,16-May-20,,
Slate & Ash,Roell Pereira,,Pennyfarthing/MLA,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: Avesdo TMS Platform
Deal Value: 
Province: British Columbia
# of Homes: 62
Deal Owner: Steve Curtis
Account Manager: Sales Advisor (Sammy, Steve, Sandor, Patrick)
Initial Launch Date: 2024-06-13
Sales/Marketing Company: MLA

Contact Details
Onboarding Contact: Sarah Rasheed

Set-Up Details
Credit Cards? No
Avesdo Deposits? TBD
Project Set-Up: 
Setting up Leads? No
Setting up Worksheets? No
If using Worksheets, when does the client want to start using this feature? 
Setting up Sales Grid? Yes
CRM/Lead Ingestion: Hubspot
API/Reporting Requirements: Yes

Notes
Other Special Customer-Related Notes: ",,Awaiting Docs/Info,Indefinitely Delayed,,,62
Volara,Jason Hudym,,Rutter Development,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: Avesdo TMS Platform
Deal Value: 
Province: California
# of Homes: 27
Deal Owner: Patrick Conn
Initial Launch Date: 2023-02-08
Development Proposal Stage: 
Sales/Marketing Company: Selling in-house

Contact Details
Onboarding Contact: Jason H.
First time using Avesdo? Yes
Customer Type: Sales/Marketing Company
Is onboarding contact new to Avesdo? Brand new to Avesdo

Set-Up Details
Trust Account Required: No
Selling in phases? Yes (believe so)
Unit Breakout: Townhome
Project Set-Up: Site Plan (Townhomes)
Setting up Leads? Yes
Setting up Worksheets? Yes
If using Worksheets, when does the client want to start using this feature? ASAP
Setting up Sales Grid? Yes
Setting up Contracts? Yes
Setting up Closings? Yes
CRM/Lead Ingestion: Wise-agent
API/Reporting Requirements: TBD
Related Projects/Relevant Info: 

Client Goals/Other Information
Competitors, CRMs, other software being used? TBD
Why Buy/Challenges we are solving: Need to digital signatures and overall project data tracking as well as digital allocation
What is client's goal from Avesdo? Digitize their sales and contract process
Why Avesdo? They saw the value in our ability to digitize a process that for them as been manual to-date
Red Flags/Risks/Potential Roadblocks: Contract file size

Test Site set up during Pre-Sales?:
No
**CS** - REFER TO HUBSPOT DEAL NOTES FOR SET UP SPECIFICS.

Notes
Other Special Customer-Related Notes: ",,Awaiting Docs/Info,Indefinitely Delayed,,,27
Rennie - 2550 Garden Drive,Roell Pereira,,,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: Avesdo TMS Platform
Deal Value: 
Province: British Columbia
# of Homes: 69
Deal Owner: Malinka Ruminski
Initial Launch Date: 2023-03-03
Development Proposal Stage: 
Sales/Marketing Company: Rennie Marketing

Contact Details
Onboarding Contact: Reuben Zilberberg
First time using Avesdo? No
Customer Type: Sales/Marketing Company
Is onboarding contact new to Avesdo? No - Existing customer (familiar with full platform)

Set-Up Details
Trust Account Required: No
Selling in phases? no
Unit Breakout: high rise
Project Set-Up: Grid view (Condo Tower)
Setting up Leads? No
Setting up Worksheets? No
If using Worksheets, when does the client want to start using this feature? n/a
Setting up Sales Grid? No
Setting up Contracts? Yes
Setting up Closings? Yes
CRM/Lead Ingestion: salesforce
API/Reporting Requirements: yes
Related Projects/Relevant Info: 

Client Goals/Other Information
Competitors, CRMs, other software being used? salesfroce
Why Buy/Challenges we are solving: contracts - api integration to salesforce
What is client's goal from Avesdo? contracts - api integration to salesforce
Why Avesdo? contracts - api integration to salesforce
Red Flags/Risks/Potential Roadblocks: 

Test Site set up during Pre-Sales?:

**CS** - REFER TO HUBSPOT DEAL NOTES FOR SET UP SPECIFICS.

Notes
Other Special Customer-Related Notes: ",,Released,Released,08-Jun-23,,69
Highpoint Developments - Alpine Canmore,Jason Hudym,,,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: 
Deal Value: $25,200.00
Province: Alberta
# of Homes: 42
Deal Owner: Steve Curtis
Account Manager: Sales Advisor (Sammy, Steve, Sandor, Patrick)
Initial Launch Date: 2024-05-03
Development Proposal Stage: 
Sales/Marketing Company: 

Contact Details
Onboarding Contact: Christine McKim
First time using Avesdo? 
Customer Type: 
Is onboarding contact new to Avesdo? No - Existing customer (familiar with full platform)

Set-Up Details
Trust Account Required: 
Selling in phases? 
Unit Breakout: 
Project Set-Up: 
Setting up Leads? 
Setting up Worksheets? 
If using Worksheets, when does the client want to start using this feature? 
Setting up Sales Grid? 
Setting up Contracts? 
Setting up Closings? 
CRM/Lead Ingestion: 
API/Reporting Requirements: 
Related Projects/Relevant Info: 

Client Goals/Other Information
Competitors, CRMs, other software being used? 
Why Buy/Challenges we are solving: 
What is client's goal from Avesdo? 
Why Avesdo? 
Red Flags/Risks/Potential Roadblocks: 

Test Site set up during Pre-Sales?:

**CS** - REFER TO HUBSPOT DEAL NOTES FOR SET UP SPECIFICS.

Notes
Other Special Customer-Related Notes: ",,Released,Released,23-Aug-24,,42
Anthem Properties Group - Nuvo,Roell Pereira,,,"Product Type: Avesdo TMS Platform
Trust Account Required: No
Deal Value: $0
Initial Launch Date: 2022-02-25
Province: British Columbia


KYC Survey:
Deal Owner: Steve Curtis
# of Homes: 358
Initial Launch Date: 2022-02-25
Onboarding Contact: Rachael Thompson
First time using Avesdo? No
Competitors, CRMs, other software being used? None
Current process outside Avesdo? Avesdo
Major problems we're solving? None
What does success mean for the client? They want early project set up
Additional comments: This is a different one because we want their project set up early even though we haven't finished negotiating their deal. I will update everything with the new figures once it's finalized. If the deal isn't agreed to prior to their launch then we can always not release the site, but please proceed with project setup like we're launching it right away. I will put the actual launch date in here, but they want the site early if possible.",,Released,Released,04-Mar-22,,358
Flamingo 2,Rashi Gupta,,Tien Sher,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: Avesdo TMS Platform
Deal Value: $100,000
Province: British Columbia
# of Homes: 400
Deal Owner: Steve Curtis
Account Manager: Sales Advisor (Sammy, Steve, Sandor, Patrick)
Initial Launch Date: 2026-04-17
Sales/Marketing Company: Key Marketing

Contact Details
Onboarding Contact: Waseem Baluch

Set-Up Details
Credit Cards? No
Avesdo Deposits? TBD
Project Set-Up: 
Setting up Leads? No
Setting up Worksheets? No
If using Worksheets, when does the client want to start using this feature? 
Setting up Sales Grid? Yes
CRM/Lead Ingestion: Not sure
API/Reporting Requirements: None that I am aware of

Notes
Other Special Customer-Related Notes: ",,Onboarding Email Sent,Not started,,,400
Aragon - Oakwoods,Rashi Gupta,,,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: Avesdo TMS Platform
Deal Value: $55,490
Province: British Columbia
# of Homes: 179
Deal Owner: Sammy Wong
Initial Launch Date: 2023-09-01
Development Proposal Stage: close to receiving permits
Sales/Marketing Company: In-House

Contact Details
Onboarding Contact: Janelle Moy
First time using Avesdo? No
Customer Type: Developer
Is onboarding contact new to Avesdo? No - Existing customer (familiar with full platform)

Set-Up Details
Trust Account Required: No
Selling in phases? No
Unit Breakout: waiting for confimation
Project Set-Up: Grid view (Combined tower/townhomes)
Setting up Leads? Yes
Setting up Worksheets? No
If using Worksheets, when does the client want to start using this feature? NA
Setting up Sales Grid? Yes
Setting up Contracts? Yes
Setting up Closings? Yes
CRM/Lead Ingestion: Lasso
API/Reporting Requirements: No. use Master Report
Related Projects/Relevant Info: 

Client Goals/Other Information
Competitors, CRMs, other software being used? Lasso
Why Buy/Challenges we are solving: reducing error
What is client's goal from Avesdo? reduce error. 
Why Avesdo? familiar with Avesdo
Red Flags/Risks/Potential Roadblocks: 

Test Site set up during Pre-Sales?:

**CS** - REFER TO HUBSPOT DEAL NOTES FOR SET UP SPECIFICS.

Notes
Other Special Customer-Related Notes: combined quote with Timer House and Wadams Farm",,Released,Released,26-Jul-25,,179
Streetside BC - Cascadia,Jason Hudym,,,"Product Type: Avesdo TMS Platform
Trust Account Required: No
Deal Value: $69,900
Initial Launch Date: 2023-04-14
Province: British Columbia


KYC Survey:
Deal Owner: Steve Curtis
# of Homes: 233
Initial Launch Date: 2023-04-14
Onboarding Contact: Jennifer Wilson
First time using Avesdo? No
Competitors, CRMs, other software being used? None
Current process outside Avesdo? Avesdo
Major problems we're solving? None
What does success mean for the client? Strong sales
Additional comments: ",,Released,Released,07-Mar-24,,233
Sentinel | Denna Homes | MLA,,,,,,Released,Released,30-Apr-20,,
Beach House - Interrobang Developments/MLA,Roell Pereira,,,"Product Type: Avesdo TMS Platform
Trust Account Required: No
Deal Value: $35,500
Initial Launch Date: 2022-07-01
Province: British Columbia


KYC Survey:
Deal Owner: Steve Curtis
# of Homes: 100
Initial Launch Date: 2022-07-01
Onboarding Contact: Jamey Castle
First time using Avesdo? No
Competitors, CRMs, other software being used? None
Current process outside Avesdo? Avesdo
Major problems we're solving? None
What does success mean for the client? N/A
Additional comments: This is a joint venture of a current customer (Nampa) and a new one. They are also using MLA for sales.",,Released,Released,17-Aug-23,,100
Tien Sher - Prima,,,,"Product Type: Avesdo TMS Platform
Trust Account Required: No
Deal Value: $27,775
Initial Launch Date: 2022-04-15
Province: British Columbia


KYC Survey:
Deal Owner: Steve Curtis
# of Homes: 101
Initial Launch Date: 2022-04-15
Onboarding Contact: Waseem Baluch
First time using Avesdo? Yes
Competitors, CRMs, other software being used? None that I am aware of
Current process outside Avesdo? paper
Major problems we're solving? They will be selling all homes very quickly so they will need a smooth process to do so effeciently.
What does success mean for the client? Quick sell out with little problems
Additional comments: The actual client/developer has never used Avesdo before. However, they have hired Tien Sher to do the sales and marketing of this project who are users of Avesdo. 

Tien Sher is expecting this project to be a quick sell out and they will be moving clients in as early as May-June.",,Released,Released,11-May-22,,101
Grayson PH2,Elton Paul,,Mosaic,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: Avesdo TMS Platform
Deal Value: $24,030.00
Province: British Columbia
# of Homes: 140
Deal Owner: Steve Curtis
Account Manager: Sales Advisor (Sammy, Steve, Sandor, Patrick)
Initial Launch Date: 2026-03-13
Sales/Marketing Company: 

Contact Details
Onboarding Contact: Mandeep Brar

Set-Up Details
Credit Cards? TBD
Avesdo Deposits? TBD
Project Set-Up: 
Setting up Leads? No
Setting up Worksheets? TBD
If using Worksheets, when does the client want to start using this feature? 
Setting up Sales Grid? Yes
CRM/Lead Ingestion: Hubspot I believe
API/Reporting Requirements: Yes

Notes
Other Special Customer-Related Notes: ",Megan : 17th Mar : No timelines for launch,Not started,Not started,04-Sep-26,,140
Wood + Water Site 2 | Anthem,,,,,,Released,Released,25-Jul-20,,
Marcon - Elmwood,,,,"Product Type: Avesdo TMS Platform
Trust Account Required: Yes
Deal Value: $100,590.45
Initial Launch Date: 2022-03-18
Province: British Columbia


KYC Survey:
Deal Owner: Sammy Wong
# of Homes: 335
Initial Launch Date: 2022-03-18
Onboarding Contact: Emma McCannan
First time using Avesdo? No
Competitors, CRMs, other software being used? Lasso
Current process outside Avesdo? Avesdo
Major problems we're solving? Lasso integration to all of their projects going forward
What does success mean for the client? Data integration and modernization
Additional comments: ",,Released,Released,15-Jun-22,,335
Epic Real Estate - Sokana Phase 2,Roell Pereira,,,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: Avesdo TMS Platform
Deal Value: $79,560
Province: British Columbia
# of Homes: 138
Deal Owner: Sammy Wong
Account Manager: Malinka
Initial Launch Date: 2023-08-21
Development Proposal Stage: 
Sales/Marketing Company: Epic/Fifth Ave

Contact Details
Onboarding Contact: Christina Toews
First time using Avesdo? No
Customer Type: Sales/Marketing Company
Is onboarding contact new to Avesdo? No - Existing customer (familiar with full platform)

Set-Up Details
Trust Account Required: No
Selling in phases? Yes.  2 phases, 2 sites. Phase 1 first -- 96 units
Unit Breakout: Ph1 -96 units          Ph2 -    138 units
Project Set-Up: Grid view (Condo Tower)
Setting up Leads? No
Setting up Worksheets? No
If using Worksheets, when does the client want to start using this feature? Not using 
Setting up Sales Grid? Yes
Setting up Contracts? Yes
Setting up Closings? Yes
CRM/Lead Ingestion: Lasso
API/Reporting Requirements: No
Related Projects/Relevant Info: 

Client Goals/Other Information
Competitors, CRMs, other software being used? Lasso for CRM
Why Buy/Challenges we are solving: System consistency 
What is client's goal from Avesdo? simplify and a familiar process
Why Avesdo? familiar process
Red Flags/Risks/Potential Roadblocks: Christina is very green in setting up Avesdo- needs more couching and verification of her replies

Test Site set up during Pre-Sales?:
No
**CS** - REFER TO HUBSPOT DEAL NOTES FOR SET UP SPECIFICS.

Notes
Other Special Customer-Related Notes: ",,Released,Released,18-Sep-23,,138
Plazacorp | King West,Roell Pereira,,,"
Project Revenue: $21,420
Subscription Start Date: 
Subscription Fee: 

KYC Survey:
Initial Launch Date: 2021-03-06
Onboarding Contact: Phoebe Lam 
First time using Avesdo? Yes
Competitors, CRMs, other software being used? no
Current process outside Avesdo? N/A
Major problems we're solving? Efficiency, reporting 
What does success mean for the client? N/A
Additional comments: N/A",,Released,Released,05-Mar-21,,612
Kerkhoff Construction - Lakehouse Summerland,,,,"Product Type: Avesdo TMS Platform
Trust Account Required: 
Deal Value: $29,250
Initial Launch Date: 2021-09-10


KYC Survey:
Deal Owner: Jake Shatz
Initial Launch Date: 2021-09-10
Onboarding Contact: Roxanne Reid
First time using Avesdo? No
Competitors, CRMs, other software being used? N/A
Current process outside Avesdo? N/A
Major problems we're solving? N/A
What does success mean for the client? N/A
Additional comments: ",,Released,Released,13-Nov-21,,45
La Pue | The Stanley District,Roell Pereira,,,"Project Revenue: $42,600
Subscription Start Date: 
Subscription Fee: 

KYC Survey:
Initial Launch Date: 2021-03-20
Onboarding Contact: Lisa Vo
First time using Avesdo? No
Competitors, CRMs, other software being used? None - 
Current process outside Avesdo? Using Avesdo Currently
Major problems we're solving? Contract efficiency/accuracy - 
What does success mean for the client? Strong sales momentum, with 2000 registraints, would like majority of units sold within 2-3 months. 
Additional comments: opportunity to move over to All-in model for next project.",,Released,Released,31-Mar-21,,284
ABH Developer Group - Casa Wyn,Roell Pereira,,,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: Avesdo TMS Platform
Deal Value: $11,424.00
Province: Florida
# of Homes: 24
Deal Owner: Sandor Segal
Account Manager: Sales Advisor (Sammy, Steve, Sandor, Patrick)
Initial Launch Date: 2024-07-31
Sales/Marketing Company: 

Contact Details
Onboarding Contact: Javier Potasman - javierpotasman@abhre.com
CFO / COO

Set-Up Details
Credit Cards? No, TBD
Avesdo Deposits? No
Project Set-Up: 
Setting up Leads? TBD
Setting up Worksheets? Yes
If using Worksheets, when does the client want to start using this feature? 
Setting up Sales Grid? Yes
CRM/Lead Ingestion: Avesdo
API/Reporting Requirements: None

Notes
Other Special Customer-Related Notes: 24 units is project total, 8 units remain available for sale. All 24 units to be loaded and status updates/data entered. Major focus on deposits and funds tracking through reports as well as remote signatures. Sales teams in 2 locations (USA + Argentina). All transactions in US Dollars.",,Released,Released,12-Nov-24,,24
Rennie - Altus,Roell Pereira,,,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: Avesdo TMS Platform
Deal Value: 
Province: British Columbia
# of Homes: 126
Deal Owner: Sandor Segal
Account Manager: Malinka
Initial Launch Date: 2023-07-10
Development Proposal Stage: 
Sales/Marketing Company: Rennie Marketing

Contact Details
Onboarding Contact: katerina wong
First time using Avesdo? No
Customer Type: Sales/Marketing Company
Is onboarding contact new to Avesdo? No - Existing customer (familiar with full platform)

Set-Up Details
Trust Account Required: No
Selling in phases? no
Unit Breakout: condo
Project Set-Up: Grid view (Condo Tower)
Setting up Leads? No
Setting up Worksheets? No
If using Worksheets, when does the client want to start using this feature? n/a
Setting up Sales Grid? No
Setting up Contracts? Yes
Setting up Closings? Yes
CRM/Lead Ingestion: sales force api integration
API/Reporting Requirements: sales force api integration
Related Projects/Relevant Info: 

Client Goals/Other Information
Competitors, CRMs, other software being used? sales force api integration
Why Buy/Challenges we are solving: sales force api integration
What is client's goal from Avesdo? sales force api integration
Why Avesdo? sales force api integration
Red Flags/Risks/Potential Roadblocks: 

Test Site set up during Pre-Sales?:

**CS** - REFER TO HUBSPOT DEAL NOTES FOR SET UP SPECIFICS.

Notes
Other Special Customer-Related Notes: ",,Released,Released,30-Aug-23,,126
Victory Building C,Roell Pereira,,Axis Real Estate,,,Awaiting Docs/Info,Indefinitely Delayed,,,101
Nuvo II | IHMG,Roell Pereira,,,,,Released,Released,01-Feb-21,,163
IHMG | Camrost Felcorp | EXS,,,,"Product Type: Avesdo TMS Platform
Trust Account Required: No
Deal Value: $38,700
Initial Launch Date: 2022-05-14
Province: Ontario


KYC Survey:
Deal Owner: Warren Saunders
# of Homes: 180
Initial Launch Date: 2022-05-14
Onboarding Contact: Shelly Sou
First time using Avesdo? No
Competitors, CRMs, other software being used? None
Current process outside Avesdo? N/A
Major problems we're solving? Luxury condo sales launch 
What does success mean for the client? 80% sold out in 30 days 
Additional comments: ",,Released,Released,17-May-22,,180
Little Mountain Building DB,,,Holborn,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: Avesdo TMS Platform
Deal Value: $32,200.00
Province: British Columbia
# of Homes: 161
Deal Owner: Steve Curtis
Account Manager: Sales Advisor (Sammy, Steve, Sandor, Patrick)
Initial Launch Date: 2029-08-10
Sales/Marketing Company: 

Contact Details
Onboarding Contact: Dominic Ng
Onboarding Contact Email: 

Set-Up Details
Credit Cards? No
EFT Deposits? Yes
Leads? No
Worksheets? No
If using Worksheets, when does the client want to start using this feature? 
Sales Grid? Yes
Realtor Portal? Yes
CRM/Lead Ingestion: Blackline
API/Reporting Requirements: Yes

Notes
Other Special Customer-Related Notes: This launch date is a guess, please check with Steve before contacting the customer.",,Not started,Not started,10-Aug-29,,161
Livy - Northstar Development Corp,Elton Paul,,,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: Avesdo TMS Platform
Deal Value: $30,300.00
Province: British Columbia
# of Homes: 101
Deal Owner: Steve Curtis
Account Manager: Sales Advisor (Sammy, Steve, Sandor, Patrick)
Initial Launch Date: 2025-05-09
Sales/Marketing Company: Magnum

Contact Details
Onboarding Contact: KelvinPoon
Onboarding Contact Email: 

Set-Up Details
Credit Cards? No
Avesdo Deposits? No
Project Set-Up: 
Setting up Leads? No
Setting up Worksheets? No
If using Worksheets, when does the client want to start using this feature? 
Setting up Sales Grid? Yes
CRM/Lead Ingestion: Spark I believe
API/Reporting Requirements: none to my knowledge

Notes
Other Special Customer-Related Notes: ",,Released,Released,18-Jun-25,,101
The Kin Collection,,,,,,Released,Released,15-Aug-20,,
Townline - Band,,,,"Product Type: Avesdo TMS Platform
Trust Account Required: No
Deal Value: $90,240
Initial Launch Date: 2022-05-13
Province: British Columbia


KYC Survey:
Deal Owner: Steve Curtis
# of Homes: 343
Initial Launch Date: 2022-05-13
Onboarding Contact: Michelle Lu
First time using Avesdo? No
Competitors, CRMs, other software being used? Lasso
Current process outside Avesdo? Avesdo
Major problems we're solving? None
What does success mean for the client? N/A
Additional comments: Roell has started the set up process for this project while we finalized the negotiation.

The client has also expressed interest in using the allocation feature for this project. They said they don't want to link up a trust account so I'm marking it as 'No' for now, but if they change their mind please let me know.",,Released,Released,20-May-22,,343
Quilchena West - Citimark and Steveston Real Estate,Rashi Gupta,,,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: Avesdo TMS Platform
Deal Value: $46,750.00
Province: British Columbia
# of Homes: 110
Deal Owner: Steve Curtis
Account Manager: Sales Advisor (Sammy, Steve, Sandor, Patrick)
Initial Launch Date: 2025-05-16
Sales/Marketing Company: 

Contact Details
Onboarding Contact: This is likely to change but let's use Edwin Leung for now. 
Onboarding Contact Email: 

Set-Up Details
Credit Cards? TBD
Avesdo Deposits? Yes
Project Set-Up: 
Setting up Leads? No
Setting up Worksheets? Yes
If using Worksheets, when does the client want to start using this feature? 
Setting up Sales Grid? Yes
CRM/Lead Ingestion: ?
API/Reporting Requirements: ?

Notes
Other Special Customer-Related Notes: Client has a sales and marketing company Stevenson Real Estate. Grace Carveth is the contact there. She has had a demo, but not for portals. I don't know how involved she will be on set up. Citimark knows Avesdo well, but Stevenson will need full training. Lastly, the launch date has been a moving target since late 2024. I have asked Citimark for an update and will provide it when I have it.",,Released,Released,18-Jun-25,,110
Aspac - Signature by River Green,Jason Hudym,,,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: Avesdo TMS Platform
Deal Value: $87,052.50
Province: British Columbia
# of Homes: 365
Deal Owner: Steve Curtis
Account Manager: Sales Advisor (Sammy, Steve, Sandor, Patrick)
Initial Launch Date: 2025-02-21
Sales/Marketing Company: 

Contact Details
Onboarding Contact: Aileen Lim
Onboarding Contact Email: 

Set-Up Details
Credit Cards? No
Avesdo Deposits? TBD
Project Set-Up: 
Setting up Leads? No
Setting up Worksheets? TBD
If using Worksheets, when does the client want to start using this feature? 
Setting up Sales Grid? Yes
CRM/Lead Ingestion: Lasso I believe
API/Reporting Requirements: None currently

Notes
Other Special Customer-Related Notes: The launch date is very much a maybe at this point. They are intending to launch in early 2025, but they said it could very easily push as it will be dependent on market conditions. I noted them as a new client, but they have worked Avesdo before. They just haven't for awhile and certainly haven't been apart of our new onboarding process so I would recommend treating them like a new client.
Billing - please note they are paying before December 15, 2024. I will send a separate email to flag this.",,Released,Released,14-Mar-25,,365
Darts Hill,,,Apcon Group/Fifth Ave,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: Avesdo TMS Platform
Deal Value: $70,650.00
Province: British Columbia
# of Homes: 202
Deal Owner: Steve Curtis
Account Manager: Sales Advisor (Sammy, Steve, Sandor, Patrick)
Initial Launch Date: 2027-06-11
Sales/Marketing Company: Fifth Ave

Contact Details
Onboarding Contact: Yvonne Stengel (Fifth Ave)
Onboarding Contact Email: 

Set-Up Details
Credit Cards? TBD
EFT Deposits? Yes
Leads? No
Worksheets? Yes
If using Worksheets, when does the client want to start using this feature? 
Sales Grid? Yes
Realtor Portal? Yes
CRM/Lead Ingestion: ?
API/Reporting Requirements: None that I know of

Notes
Other Special Customer-Related Notes: ",,Not started,Not started,11-Jun-27,,202
Lupine Walk - Rennie,Roell Pereira,,,,,Released,Released,16-Jul-25,,113
